今日份惬意：舒缓沙发音乐,趵突泉边上的小屁孩,1086406,2018-07-23,"爵士,英语,咖啡馆",https://y.qq.com/n/yqq/playsquare/4222925523.html
孤独华语 | 城市失眠者的落寞伤曲,Music Fans,771214,2018-10-24,"国语,流行,寂寞",https://y.qq.com/n/yqq/playsquare/5296447782.html
暗调喜感 · Dark cabaret,花痞,56676,2018-10-08,摇滚,https://y.qq.com/n/yqq/playsquare/5009404136.html
《滚石》评2018年最佳专辑Top 50,涩涩的大棕熊,90329,2018-12-14,英语,https://y.qq.com/n/yqq/playsquare/5936486125.html
重塑雕像的权利：怪诞的不仅仅是名字,LAN费曼,30395,2018-09-20,摇滚,https://y.qq.com/n/yqq/playsquare/4939284378.html
达人周末 | 肾上腺素飙升的运动BGM,达人周末,1225682,2018-11-03,"英语,流行,运动",https://y.qq.com/n/yqq/playsquare/5434307006.html
Trap Soul | 幻夜中的迷醉呓语,Smile,135474,2018-09-10,"R&B,英语,国语",https://y.qq.com/n/yqq/playsquare/4574361009.html
适合在KTV唱的古风歌曲,约翰大叔不约汤欧巴,1939727,2018-11-07,"国语,古风,KTV热歌",https://y.qq.com/n/yqq/playsquare/5358585232.html
溢于弦音的百缕乡村蓝调,少女心的摇滚狗,319154,2018-06-26,"蓝调,乡村,安静",https://y.qq.com/n/yqq/playsquare/4180858035.html
夜班车上听的华语温润男声,爱听歌的兽哥,1624912,2018-05-30,"国语,流行",https://y.qq.com/n/yqq/playsquare/4132662998.html
薄荷海风味的温柔女声,念安娜,2335991,2018-08-29,"国语,安静,治愈",https://y.qq.com/n/yqq/playsquare/4384071983.html
25首俘获少女心的无前奏男嗓,Krystal Lee,4328062,2018-07-23,"英语,流行,旅行",https://y.qq.com/n/yqq/playsquare/4223241703.html
独立流行丨文艺青年的敏感语录,花痞,1760469,2018-08-21,"国语,流行",https://y.qq.com/n/yqq/playsquare/4270146099.html
这颗音“药”，治愈失眠的你,Clean,8365187,2018-08-19,"英语,安静,睡前",https://y.qq.com/n/yqq/playsquare/4274872288.html
站内弹幕100000+的热门单曲,欢脱小兔牙七柒,6477059,2018-08-31,流行,https://y.qq.com/n/yqq/playsquare/4416527448.html
清晨唤醒活力听的鼓声新世纪,五品带砖侍卫,334475,2018-08-16,"新世纪,励志",https://y.qq.com/n/yqq/playsquare/3791130471.html
V a p o r w a v e丨少 女 心 杂 货 铺,花痞,196863,2018-08-13,"电子,甜蜜",https://y.qq.com/n/yqq/playsquare/4228091786.html
傍晚公园散步听的华语流行,念安娜,1322043,2018-08-11,"国语,治愈,流行",https://y.qq.com/n/yqq/playsquare/4258441330.html
老板催稿？你需要这些轻柔华语,Music Fans,1058771,2018-08-22,"国语,流行,工作",https://y.qq.com/n/yqq/playsquare/4258254541.html
2018年播放过亿国漫合集,花一村,1930813,2018-08-17,"国语,ACG",https://y.qq.com/n/yqq/playsquare/4269690020.html
编剧激发灵感专用古典幻想曲,枯燥的读书人,266479,2018-08-13,"工作,学习,古典",https://y.qq.com/n/yqq/playsquare/4262072319.html
这是去过苹果发布会现场的人整理的！,李狗蛋,448653,2018-09-13,"英语,流行",https://y.qq.com/n/yqq/playsquare/4759900907.html
Neo-Psychedelia | 秘境重奏,May〃,327113,2018-08-15,电子,https://y.qq.com/n/yqq/playsquare/4264581532.html
8月欧美电音新单推荐,爱听歌的兽哥,1275623,2018-08-21,"英语,电子",https://y.qq.com/n/yqq/playsquare/4245972054.html
自然纯音：迅速找回开学状态,Music Fans,912626,2018-06-12,"轻音乐,安静,学习",https://y.qq.com/n/yqq/playsquare/4159127325.html
雨天在家打扫外放的抒情女声,念安娜,3494817,2018-06-21,"国语,治愈,安静",https://y.qq.com/n/yqq/playsquare/4172714259.html
She′s my queen · 高甜情歌,Jammy_J,435502,2018-08-03,"流行,情歌,甜蜜",https://y.qq.com/n/yqq/playsquare/4240919338.html
治愈古风：一曲笙歌醉人梦,五品带砖侍卫,1321000,2018-08-02,"国语,古风,治愈",https://y.qq.com/n/yqq/playsquare/3644190836.html
小众特供 · 韩语HipHop,金琳达,177900,2018-07-11,"韩语,嘻哈,宣泄",https://y.qq.com/n/yqq/playsquare/4203364579.html
2018年8月华语新歌,还不是因为你长得不好看,2637694,2018-08-28,"国语,粤语,流行",https://y.qq.com/n/yqq/playsquare/4239099828.html
唤发荷尔蒙：日本温柔烟枪少年,私に闻いて风i,446901,2018-08-16,"日语,流行,治愈",https://y.qq.com/n/yqq/playsquare/4235784088.html
2018年8月日语新歌,私に闻いて风i,383143,2018-08-27,"日语,流行",https://y.qq.com/n/yqq/playsquare/4289763930.html
2018年8月欧美新歌,Jammy_J,2573016,2018-08-22,"英语,流行",https://y.qq.com/n/yqq/playsquare/4286242549.html
速升血糖！霓虹的阿斯巴甜 ,夏目杏林,149803,2018-08-09,"流行,日语,甜蜜",https://y.qq.com/n/yqq/playsquare/4253222514.html
2018年8月韩语新歌,JTY起风了,766502,2018-08-20,"韩语,流行",https://y.qq.com/n/yqq/playsquare/4239594343.html
失恋舒缓剂 ：耳里融化的轻柔女声,★、╰︶,1253816,2018-07-30,"治愈,日语",https://y.qq.com/n/yqq/playsquare/4222528642.html
指尖上的艺术：Keyboard键盘音乐,古典指弹大湿,1623252,2017-10-31,"轻音乐,古典,睡前",https://y.qq.com/n/yqq/playsquare/3284557728.html
老板，来杯7分甜的说唱情话,爱听歌的兽哥,2471497,2018-08-12,"国语,嘻哈,甜蜜",https://y.qq.com/n/yqq/playsquare/4260105355.html
欧美向：当大咖们撞歌名之后...,少女心的摇滚狗,1747191,2018-08-06,"英语,流行",https://y.qq.com/n/yqq/playsquare/4246910573.html
Alternative R&B · 魔性迷嗓,花痞,436103,2018-08-21,"英语,R&B",https://y.qq.com/n/yqq/playsquare/4246083729.html
民谣：倾尽杯中影，思故慰风尘,Music Fans,1464809,2018-08-13,"国语,民谣,思念",https://y.qq.com/n/yqq/playsquare/4256567874.html
Triphop · 在幻影间的神游,Jane&Danny,478940,2018-07-24,"电子,跳舞,英语",https://y.qq.com/n/yqq/playsquare/4224581603.html
一夜无梦 | 轻柔助眠纯音,我的心事你别猜,666269,2018-07-19,"安静,轻音乐",https://y.qq.com/n/yqq/playsquare/4217453869.html
安静新民谣：上班族的减压良药,被嫌弃的唐唐的一生,3749248,2018-03-13,"国语,民谣,安静",https://y.qq.com/n/yqq/playsquare/3778307996.html
亚美尼亚 | 启航高加索，寻觅古老气息,這里的黎明靜悄悄,143494,2018-08-09,"小语种,流行",https://y.qq.com/n/yqq/playsquare/4253339448.html
情绪净化站 · 韩系抒情,金琳达,357698,2018-08-19,"韩语,流行,治愈",https://y.qq.com/n/yqq/playsquare/4227289212.html
是时候展现真正的蹦迪技术了,故事的最后还是说了拜,1911360,2018-08-20,"夜店,电子",https://y.qq.com/n/yqq/playsquare/4277645676.html
Pitchfork评选：90年代100张最佳专辑,Jane&Danny,612962,2018-08-29,"英语,经典",https://y.qq.com/n/yqq/playsquare/4393383899.html
《2018中国好声音》歌曲合集,鹅猴综艺狸,5126433,2018-07-14,"现场音乐,中国传统,流行",https://y.qq.com/n/yqq/playsquare/4208674674.html
减 燥 的 柠 檬 味 夏 日 凉 曲,念安娜,2034676,2018-07-12,"国语,治愈,流行",https://y.qq.com/n/yqq/playsquare/4204706473.html
如果结局不好，我宁选孤独终老,Molly Wu_正是在下,3996338,2018-07-24,"国语,伤感,寂寞",https://y.qq.com/n/yqq/playsquare/4224133912.html
美貌 + 才华 = 这些仙女们,少女心的摇滚狗,448344,2018-08-21,"英语,流行",https://y.qq.com/n/yqq/playsquare/4279267212.html
艺术生集训专用舒压协奏曲,静静的顿河,361985,2018-08-09,"学习,古典,乐器",https://y.qq.com/n/yqq/playsquare/4253795767.html
复合电气 · Complextro,May〃,104410,2018-08-27,电子,https://y.qq.com/n/yqq/playsquare/4309766943.html
飞行模式：ON ,趵突泉边上的小屁孩,643517,2018-07-30,"英语,伤感",https://y.qq.com/n/yqq/playsquare/4234089680.html
《XXL》历年评选说唱新人,Lee BG嗷柏,619352,2018-07-24,"嘻哈,流行,英语",https://y.qq.com/n/yqq/playsquare/3851947927.html
『纯音治愈』独步散心静听的旋律,af.琳,386396,2018-08-21,"轻音乐,治愈",https://y.qq.com/n/yqq/playsquare/4279829926.html
这些英文诗后来都被唱成了歌,心情如歌单,1353577,2018-08-28,"英语,流行",https://y.qq.com/n/yqq/playsquare/4376450054.html
被学生气哭？你该听这些治愈系纯音,私に闻いて风i,2176043,2018-09-07,"轻音乐,治愈,睡前",https://y.qq.com/n/yqq/playsquare/4276257210.html
达人周末 | 缓解焦虑症の良药,达人周末,1101155,2018-09-07,"轻音乐,治愈",https://y.qq.com/n/yqq/playsquare/4578101673.html
观影指南：短剧情MV合集,K先生的猫,97309,2018-07-30,"英语,流行,开车",https://y.qq.com/n/yqq/playsquare/4234033366.html
提速！作家赶稿专用交响乐急板,涩涩的大棕熊,116894,2018-08-06,"工作,乐器,古典",https://y.qq.com/n/yqq/playsquare/4240880773.html
文艺青年都中意嘅粤语Acoustic,不稀饭棉花糖の萝莉,778226,2018-07-09,"粤语,流行,治愈",https://y.qq.com/n/yqq/playsquare/4201529794.html
小众华语歌里的原创佳作,刘泽洋,1005256,2018-06-20,国语,https://y.qq.com/n/yqq/playsquare/4166290054.html
致幻错觉：舒缓电子人声,疯狂的Max,671669,2018-07-24,"电子,英语,安静",https://y.qq.com/n/yqq/playsquare/4224458990.html
这位同学：撩人男嗓送你一打！,念安娜,1484878,2018-08-21,"国语,流行,治愈",https://y.qq.com/n/yqq/playsquare/4276056063.html
解乏消疲 : 旅行后听的柔缓纯音,★、╰︶,623457,2018-08-08,"轻音乐,安静",https://y.qq.com/n/yqq/playsquare/4218561246.html
达人周末 | 停电时不如听些舒缓华语,达人周末,1334408,2018-08-31,"国语,安静",https://y.qq.com/n/yqq/playsquare/4416907934.html
忧伤小调：民谣里的苦味男声,花痞,1517827,2018-08-21,"国语,民谣",https://y.qq.com/n/yqq/playsquare/4198981872.html
江湖民谣女子：骨子里的傲气与温柔,二七,4200910,2018-03-26,"国语,民谣",https://y.qq.com/n/yqq/playsquare/2688561996.html
编辑解压听的柔和Indie Pop,May〃,6457601,2018-06-04,"英语,流行",https://y.qq.com/n/yqq/playsquare/4123979090.html
梦想做个有钱人，在车库里玩摇滚,Seve7n Day Rock,223899,2018-07-04,"英语,摇滚",https://y.qq.com/n/yqq/playsquare/4191187886.html
8月古风新歌：清幽茶，沉香梦,安多,2493993,2018-08-28,"国语,古风",https://y.qq.com/n/yqq/playsquare/4244623545.html
专治开学综合征的柔情音乐,天天困成狗,1587047,2017-08-21,学习,https://y.qq.com/n/yqq/playsquare/2677577878.html
国风电音 · 倚马独行于快意江湖,鹿尔,1432972,2018-02-10,"电子,中国风,快乐",https://y.qq.com/n/yqq/playsquare/3712518928.html
萌我一脸鼻血！需要血小板来拯救,★、╰︶,822693,2018-08-09,日语,https://y.qq.com/n/yqq/playsquare/4250710061.html
8-Bit丨像素世界，电音本真,花痞,170328,2018-07-30,电子,https://y.qq.com/n/yqq/playsquare/4228658624.html
